name,number
Alabama,22
Alaska,1
Arizona,12
Arkansas,16
California,311
Colorado,131
Connecticut,26
Delaware,7
District of Columbia,17
Florida,149
Georgia,99
Hawaii,7
Idaho,5
Illinois,93
Indiana,24
Iowa,18
Kansas,9
Kentucky,20
Louisiana,103
Maine,3
Maryland,31
Massachusetts,164
Michigan,53
Minnesota,35
Mississippi,10
Missouri,5
Montana,7
Nebraska,18
Nevada,19
New Hampshire,13
New Jersey,98
New Mexico,17
New York,729
North Carolina,32
North Dakota,1
Ohio,37
Oklahoma,10
Oregon,39
Pennsylvania,63
Rhode Island,20
South Carolina,28
South Dakota,9
Tennessee,39
Texas,56
Utah,28
Vermont,4
Virginia,45
Washington,769
West Virginia,0
Wisconsin,33
Wyoming,3
