name,number
Alabama,68
Alaska,9
Arizona,44
Arkansas,62
California,651
Colorado,216
Connecticut,96
Delaware,30
District of Columbia,39
Florida,390
Georgia,287
Hawaii,16
Idaho,11
Illinois,422
Indiana,56
Iowa,38
Kansas,34
Kentucky,35
Louisiana,347
Maine,42
Maryland,107
Massachusetts,328
Michigan,336
Minnesota,89
Mississippi,50
Missouri,22
Montana,12
Nebraska,27
Nevada,95
New Hampshire,39
New Jersey,742
New Mexico,35
New York,4152
North Carolina,97
North Dakota,15
Ohio,119
Oklahoma,46
Oregon,88
Pennsylvania,185
Rhode Island,33
South Carolina,60
South Dakota,11
Tennessee,154
Texas,143
Utah,78
Vermont,22
Virginia,94
Washington,1187
West Virginia,2
Wisconsin,155
Wyoming,18
